其他频道,#genre#
CHC家庭影院,http://112.235.200.18:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://112.235.200.44:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://112.235.200.72:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CHC电影,http://112.235.202.176:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
IPTV古装剧场,http://118.253.0.237:2023/tsfile/live/1085_1.m3u8?key=txiptv&playlive=1&authid=0
IPTV经典剧场,http://118.253.0.237:2023/tsfile/live/1086_1.m3u8?key=txiptv&playlive=1&authid=0
淘电影,http://115.171.86.183:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电影,http://118.253.0.237:2023/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电视剧,http://42.49.189.17:9008/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电视剧,http://118.253.0.237:2023/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
电影,http://42.5.185.189:9901/tsfile/live/1104_1.m3u8?key=txiptv&playlive=1&authid=0
电视剧,http://113.57.150.190:9000/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
第一剧场,http://42.5.185.189:9901/tsfile/live/1082_1.m3u8?key=txiptv&playlive=1&authid=0
经典电影,http://113.57.150.190:9000/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
都市剧场,http://116.233.232.229:7777/tsfile/live/1053_1.m3u8?key=txiptv&playlive=1&authid=0

03月14日16时,#genre#

CCTV1,http://58.210.60.226:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
